sample,batch,class,order
v95,1,B,78
v91,1,B,77
v86,1,B,76
v85,1,B,75
v84,1,B,74
v83,1,B,73
v82,1,B,72
v81,1,B,71
v80,1,B,70
v79,1,B,68
v78,1,B,67
v77,1,B,66
v76,1,B,65
v75,1,B,64
v74,1,B,63
v73,1,B,62
v72,1,B,61
v71,1,B,60
V70,1,B,59
v7,1,B,6
v69,1,B,57
v68,1,B,56
v67,1,B,55
v66,1,B,54
v65,1,B,53
v64,1,B,52
v63,1,B,51
v62,1,B,50
v61,1,B,49
v60,1,B,48
v6,1,B,5
v59,1,B,46
v58,1,B,45
v57,1,B,44
v56,1,B,43
v54,1,B,42
v53,1,B,41
v52,1,B,40
v51,1,B,39
v50,1,B,38
v49,1,B,37
v48,1,B,35
v47,1,B,34
v46,1,B,33
v45,1,B,32
v44,1,B,31
v43,1,B,30
v42,1,B,29
v41,1,B,28
v40,1,B,27
v39,1,B,26
v38,1,B,24
v37,1,B,23
v36,1,B,22
v35,1,B,21
v34,1,B,20
v33,1,B,19
v32,1,B,18
v31,1,B,17
v28,1,B,16
v27,1,B,15
v26,1,B,13
v25,1,B,12
v24,1,B,11
v20,1,B,10
v13,1,B,9
v12,1,B,8
v11,1,B,7
v1,1,B,4
QC9,1,NA,69
QC8,1,NA,58
QC7,1,NA,47
QC6,1,NA,36
QC5,1,NA,25
QC4,1,NA,14
QC3,1,NA,3
QC2,1,NA,2
QC17,1,NA,125
QC16,1,NA,124
QC15,1,NA,123
QC14,1,NA,122
QC13,1,NA,113
QC12,1,NA,102
QC11,1,NA,91
QC10,1,NA,80
QC1,1,NA,1
B56,1,A,121
B44,1,A,120
B43,1,A,119
B40,1,A,118
B37,1,A,117
B36,1,A,116
B32,1,A,115
B29,1,A,114
B28,1,A,112
B24,1,A,111
B21,1,A,110
B19,1,A,109
B16,1,A,108
B13,1,A,107
A52,1,A,106
A51,1,A,105
A50,1,A,104
A47,1,A,103
A45,1,A,101
A44,1,A,100
A43,1,A,99
A42,1,A,98
A40,1,A,97
A39,1,A,96
A38,1,A,95
A36,1,A,94
A34,1,A,93
A33,1,A,92
A32,1,A,90
A30,1,A,89
A28,1,A,88
A26,1,A,87
A25,1,A,86
A24,1,A,85
A23,1,A,84
A22,1,A,83
A21,1,A,82
A20,1,A,81
A19,1,A,79
